10336 70832 	1)羅嚴克拉姆 
8636 69132 	2)山德斯
9622 70118 	3)巴爾豪薩
13328 73824 	4)卡姆胡巴
8024 68520 	5)卡爾納普
8262 68758 	6)古利茲
8432 68928 	7)古雷沙
8398 68894 	8)古魯堅休提倫
9894 70390 	9)布克斯提夫德
9962 70458 	10)布拉斯契
9996 70492 	11)布朗胥百克
10098 70594 	12)布連塔諾
10030 70526 	13)布爾達哈
10948 71444 	14)瓦列
9724 70220 	15)皮羅
10608 71104 	16)立典亥姆
10642 71138 	17)立典拉德
13260 73756 	18)特勞斯
9010 69506 	19)休勒
10812 71308 	20)列佛爾特
10778 71274 	21)列肯道夫
8092 68588 	22)吉爾菲艾斯
7718 68214 	23)安森巴哈
10302 70798 	24)米達麥亞
7616 68112 	25)艾亨道夫
7820 68316 	26)艾倫博克
7854 68350 	27)艾爾拉赫
7582 68078 	28)艾齊納哈
9860 70356 	29)佛格
10166 70662 	30)何夫麥斯塔
8126 68622 	31)克那普斯坦
8296 68792 	32)克里希
8194 68690 	33)克拉傑
8228 68724 	34)克拉普夫
8534 69030 	35)克斯拉
13430 73926 	36)克萊巴
8500 68996 	37)克羅第瓦魯
8568 69064 	38)坎普
9180 69676 	39)宋巴爾特
9146 69642 	40)宋年菲爾斯
9758 70254 	41)希德斯哈姆
9214 69710 	42)狄克爾
9248 69744 	43)狄塔斯多夫
10132 70628 	44)貝爾肯格林
7684 68180 	45)亞特林肯
8058 68554 	46)奇斯里
9418 69914 	47)奈西巴哈
13464 73960 	48)拉傑爾
13498 73994 	49)林查
9792 70288 	50)法倫海特
7650 68146 	51)阿姆斯道爾夫
9656 70152 	52)哈爾巴休泰德
9486 69982 	53)拜耶爾藍
9588 70084 	54)派特利肯
8704 69200 	55)胥夫特
9282 69778 	56)迪爾克先
8976 69472 	57)修姆德
8840 69336 	58)修特克豪簡
8874 69370 	59)修特萊
13362 73858 	60)修萊雅
8670 69166 	61)夏伍汀 
8160 68656 	62)庫典森
8364 68860 	63)格利魯帕爾茲
8330 68826 	64)格留尼曼
8466 68962 	65)格雷布納
9316 69812 	66)特奈傑
8602 69098 	67)曹肯
10438 70934 	68)梅克林格
10472 70968 	69)梅爾卡茲
9690 70186 	70)畢典菲爾特
10200 70696 	71)荷爾茲拜亞
10880 71376 	72)連內肯普
10234 70730 	73)麥佛赫
9078 69574 	74)傑克特 
8738 69234 	75)斯坦赫夫
8806 69302 	76)斯特汀
8772 69268 	77)舒坦梅茲
8908 69404 	78)舒奈德
8942 69438 	79)舒馬赫
7752 68248 	80)華根賽爾
10540 71036 	81)萊博爾
10064 70560 	82)菲列格爾
9826 70322 	83)菲爾納 
9928 70424 	84)費賽尼亞
7956 68452 	85)奧夫雷沙
7922 68418 	86)奧貝斯坦
10846 71342 	87)雷姆拉
10676 71172 	88)流肯
7786 68282 	89)維拉 
9520 70016 	90)豪夫
9554 70050 	91)豪普特曼
9384 69880 	92)德洛伊傑
9350 69846 	93)德瑞文滋
